    N     E(MeV)   Elastic(b)   Inelastic(b) Capture(b)   Fission(b)   Total(b)
  451         452     0.03128     0.002316            0            0       0.0336
  452         453     0.03126     0.002346            0            0      0.03361
  453         454     0.03124     0.002377            0            0      0.03361
  454         455     0.03121     0.002407            0            0      0.03362
  455         456     0.03119     0.002437            0            0      0.03363
  456         457     0.03117     0.002467            0            0      0.03364
  457         458     0.03115     0.002497            0            0      0.03365
  458         459     0.03113     0.002528            0            0      0.03366
  459         460     0.03111     0.002558            0            0      0.03367
  460         461     0.03109     0.002588            0            0      0.03368
  461         462     0.03107     0.002618            0            0      0.03369
  462         463     0.03105     0.002649            0            0       0.0337
  463         464     0.03103     0.002679            0            0      0.03371
  464         465     0.03101     0.002709            0            0      0.03372
  465         466     0.03099     0.002739            0            0      0.03373
  466         467     0.03097     0.002769            0            0      0.03374
  467         468     0.03095       0.0028            0            0      0.03375
  468         469     0.03093      0.00283            0            0      0.03376
  469         470     0.03091      0.00286            0            0      0.03377
  470         471     0.03089      0.00289            0            0      0.03378
  471         472     0.03087     0.002921            0            0      0.03379
  472         473     0.03085     0.002951            0            0       0.0338
  473         474     0.03083     0.002981            0            0      0.03381
  474         475     0.03081     0.003011            0            0      0.03382
  475         476     0.03079     0.003041            0            0      0.03383
  476         477     0.03077     0.003072            0            0      0.03384
  477         478     0.03075     0.003102            0            0      0.03385
  478         479     0.03073     0.003132            0            0      0.03386
  479         480     0.03071     0.003162            0            0      0.03387
  480         481     0.03069     0.003193            0            0      0.03388
  481         482     0.03067     0.003223            0            0      0.03389
  482         483     0.03065     0.003253            0            0       0.0339
  483         484     0.03063     0.003283            0            0      0.03391
  484         485     0.03061     0.003313            0            0      0.03392
  485         486     0.03059     0.003344            0            0      0.03393
  486         487     0.03057     0.003374            0            0      0.03394
  487         488     0.03055     0.003404            0            0      0.03395
  488         489     0.03053     0.003434            0            0      0.03396
  489         490     0.03051     0.003465            0            0      0.03397
  490         491     0.03049     0.003495            0            0      0.03398
  491         492     0.03047     0.003525            0            0      0.03399
  492         493     0.03045     0.003555            0            0        0.034
  493         494     0.03043     0.003585            0            0      0.03401
  494         495     0.03041     0.003616            0            0      0.03402
  495         496     0.03038     0.003646            0            0      0.03403
  496         497     0.03036     0.003676            0            0      0.03404
  497         498     0.03034     0.003706            0            0      0.03405
  498         499     0.03032     0.003737            0            0      0.03406
  499         500      0.0303     0.003767            0            0      0.03407
  500         501     0.03028     0.003797            0            0      0.03408
  501         502     0.03026     0.003827            0            0      0.03409
  502         503     0.03024     0.003857            0            0       0.0341
  503         504     0.03022     0.003888            0            0      0.03411
  504         505      0.0302     0.003918            0            0      0.03412
  505         506     0.03018     0.003948            0            0      0.03413
  506         507     0.03016     0.003978            0            0      0.03414
  507         508     0.03014     0.004009            0            0      0.03415
  508         509     0.03012     0.004039            0            0      0.03416
  509         510      0.0301     0.004069            0            0      0.03417
  510         511     0.03008     0.004099            0            0      0.03418
  511         512     0.03006     0.004129            0            0      0.03419
  512         513     0.03004      0.00416            0            0       0.0342
  513         514     0.03002      0.00419            0            0      0.03421
  514         515        0.03      0.00422            0            0      0.03422
  515         516     0.02998      0.00425            0            0      0.03423
  516         517     0.02996     0.004281            0            0      0.03424
  517         518     0.02994     0.004311            0            0      0.03425
  518         519     0.02992     0.004341            0            0      0.03426
  519         520      0.0299     0.004371            0            0      0.03427
  520         521     0.02988     0.004401            0            0      0.03428
  521         522     0.02986     0.004432            0            0      0.03429
  522         523     0.02984     0.004462            0            0       0.0343
  523         524     0.02982     0.004492            0            0      0.03431
  524         525      0.0298     0.004522            0            0      0.03432
  525         526     0.02978     0.004553            0            0      0.03433
  526         527     0.02976     0.004583            0            0      0.03434
  527         528     0.02974     0.004613            0            0      0.03435
  528         529     0.02972     0.004643            0            0      0.03436
  529         530      0.0297     0.004673            0            0      0.03437
  530         531     0.02968     0.004704            0            0      0.03438
  531         532     0.02966     0.004734            0            0      0.03439
  532         533     0.02964     0.004764            0            0       0.0344
  533         534     0.02962     0.004794            0            0      0.03441
  534         535      0.0296     0.004825            0            0      0.03442
  535         536     0.02958     0.004855            0            0      0.03443
  536         537     0.02956     0.004885            0            0      0.03444
  537         538     0.02954     0.004915            0            0      0.03445
  538         539     0.02952     0.004945            0            0      0.03446
  539         540      0.0295     0.004976            0            0      0.03448
  540         541     0.02948     0.005006            0            0      0.03449
  541         542     0.02946     0.005036            0            0       0.0345
  542         543     0.02944     0.005066            0            0      0.03451
  543         544     0.02942     0.005097            0            0      0.03452
  544         545      0.0294     0.005127            0            0      0.03453
  545         546     0.02938     0.005157            0            0      0.03454
  546         547     0.02936     0.005187            0            0      0.03455
  547         548     0.02934     0.005217            0            0      0.03456
  548         549     0.02932     0.005248            0            0      0.03457
  549         550      0.0293     0.005278            0            0      0.03458
  550         551     0.02928     0.005308            0            0      0.03459
  551         552     0.02926     0.005338            0            0       0.0346
  552         553     0.02924     0.005369            0            0      0.03461
  553         554     0.02922     0.005399            0            0      0.03462
  554         555      0.0292     0.005429            0            0      0.03463
  555         556     0.02918     0.005461            0            0      0.03464
  556         557     0.02916     0.005494            0            0      0.03465
  557         558     0.02914     0.005527            0            0      0.03466
  558         559     0.02912      0.00556            0            0      0.03468
  559         560      0.0291     0.005593            0            0      0.03469
  560         561     0.02908     0.005626            0            0       0.0347
  561         562     0.02906     0.005659            0            0      0.03472
  562         563     0.02904     0.005692            0            0      0.03473
  563         564     0.02902     0.005725            0            0      0.03475
  564         565     0.02901     0.005758            0            0      0.03477
  565         566     0.02899     0.005791            0            0      0.03478
  566         567     0.02898     0.005824            0            0       0.0348
  567         568     0.02896     0.005857            0            0      0.03482
  568         569     0.02894      0.00589            0            0      0.03483
  569         570     0.02893     0.005923            0            0      0.03485
  570         571     0.02891     0.005956            0            0      0.03487
  571         572     0.02889     0.005988            0            0      0.03488
  572         573     0.02888     0.006021            0            0       0.0349
  573         574     0.02886     0.006054            0            0      0.03492
  574         575     0.02885     0.006087            0            0      0.03493
  575         576     0.02883      0.00612            0            0      0.03495
  576         577     0.02881     0.006153            0            0      0.03497
  577         578      0.0288     0.006186            0            0      0.03498
  578         579     0.02878     0.006219            0            0        0.035
  579         580     0.02876     0.006252            0            0      0.03502
  580         581     0.02875     0.006285            0            0      0.03503
  581         582     0.02873     0.006318            0            0      0.03505
  582         583     0.02872     0.006351            0            0      0.03507
  583         584      0.0287     0.006384            0            0      0.03508
  584         585     0.02868     0.006417            0            0       0.0351
  585         586     0.02867      0.00645            0            0      0.03512
  586         587     0.02865     0.006483            0            0      0.03513
  587         588     0.02863     0.006516            0            0      0.03515
  588         589     0.02862     0.006549            0            0      0.03517
  589         590      0.0286     0.006582            0            0      0.03518
  590         591     0.02858     0.006615            0            0       0.0352
  591         592     0.02857     0.006648            0            0      0.03522
  592         593     0.02855     0.006681            0            0      0.03523
  593         594     0.02854     0.006714            0            0      0.03525
  594         595     0.02852     0.006747            0            0      0.03527
  595         596      0.0285      0.00678            0            0      0.03528
  596         597     0.02849     0.006813            0            0       0.0353
  597         598     0.02847     0.006846            0            0      0.03532
  598         599     0.02845     0.006879            0            0      0.03533
  599         600     0.02844     0.006912            0            0      0.03535
  600         601     0.02842     0.006945            0            0      0.03537
  601         602     0.02841     0.006978            0            0      0.03538
  602         603     0.02839     0.007011            0            0       0.0354
  603         604     0.02837     0.007044            0            0      0.03542
  604         605     0.02836     0.007077            0            0      0.03543
  605         606     0.02834      0.00711            0            0      0.03545
  606         607     0.02832     0.007142            0            0      0.03547
  607         608     0.02831     0.007175            0            0      0.03548
  608         609     0.02829     0.007208            0            0       0.0355
