    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  423        4.24      0.9944     0.007887        1.002
  424        4.25      0.9949     0.007946        1.003
  425        4.26      0.9954     0.008004        1.003
  426        4.27      0.9959     0.008063        1.004
  427        4.28      0.9964     0.008123        1.005
  428        4.29      0.9969     0.008182        1.005
  429         4.3      0.9974     0.008242        1.006
  430        4.31      0.9979     0.008302        1.006
  431        4.32      0.9984     0.008363        1.007
  432        4.33      0.9989     0.008423        1.007
  433        4.34      0.9994     0.008484        1.008
  434        4.35      0.9998     0.008546        1.008
  435        4.36           1     0.008607        1.009
  436        4.37       1.001     0.008669        1.009
  437        4.38       1.001     0.008731         1.01
  438        4.39       1.002     0.008794        1.011
  439         4.4       1.002     0.008857        1.011
  440        4.41       1.003      0.00892        1.012
  441        4.42       1.003     0.008983        1.012
  442        4.43       1.004     0.009046        1.013
  443        4.44       1.004      0.00911        1.013
  444        4.45       1.005     0.009175        1.014
  445        4.46       1.005     0.009239        1.014
  446        4.47       1.005     0.009304        1.015
  447        4.48       1.006     0.009369        1.015
  448        4.49       1.006     0.009434        1.016
  449         4.5       1.007       0.0095        1.016
  450        4.51       1.007     0.009566        1.017
  451        4.52       1.008     0.009632        1.017
  452        4.53       1.008     0.009698        1.018
  453        4.54       1.009     0.009765        1.018
  454        4.55       1.009     0.009832        1.019
  455        4.56       1.009       0.0099        1.019
  456        4.57        1.01     0.009967         1.02
  457        4.58        1.01      0.01004         1.02
  458        4.59       1.011       0.0101        1.021
  459         4.6       1.011      0.01017        1.021
  460        4.61       1.012      0.01024        1.022
  461        4.62       1.012      0.01031        1.022
  462        4.63       1.012      0.01038        1.023
  463        4.64       1.013      0.01045        1.023
  464        4.65       1.013      0.01052        1.024
  465        4.66       1.014      0.01059        1.024
  466        4.67       1.014      0.01066        1.025
  467        4.68       1.015      0.01073        1.025
  468        4.69       1.015       0.0108        1.026
  469         4.7       1.015      0.01087        1.026
  470        4.71       1.016      0.01095        1.027
