    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  490        49.1      0.3649        0.224       0.5889
  491        49.2      0.3641       0.2237       0.5878
  492        49.3      0.3634       0.2234       0.5868
  493        49.4      0.3626       0.2231       0.5857
  494        49.5      0.3619       0.2228       0.5847
  495        49.6      0.3611       0.2226       0.5837
  496        49.7      0.3603       0.2223       0.5826
  497        49.8      0.3596        0.222       0.5816
  498        49.9      0.3588       0.2217       0.5805
  499          50      0.3581       0.2214       0.5795
